Time (UTCG),Angle (deg),AngleRate (deg/sec)
6:49:04 PM,0.062,0
6:49:05 PM,0.062,0
6:49:06 PM,0.062,0
6:49:07 PM,0.062,0
6:49:08 PM,0.062,0
6:49:09 PM,0.062,0
6:49:10 PM,0.062,0
6:49:11 PM,0.062,0
6:49:12 PM,0.062,0
6:49:13 PM,0.062,0
6:49:14 PM,0.062,0
6:49:15 PM,0.062,0
6:49:16 PM,0.062,0
6:49:17 PM,0.062,0
6:49:18 PM,0.062,0
6:49:19 PM,0.062,0
6:49:20 PM,0.062,0
6:49:21 PM,0.062,0
6:49:22 PM,0.062,0
6:49:23 PM,0.062,0
6:49:24 PM,0.062,0
6:49:25 PM,0.062,0
6:49:26 PM,0.062,0
6:49:27 PM,0.062,0
6:49:28 PM,0.062,0
6:49:29 PM,0.062,0
6:49:30 PM,0.062,0
6:49:31 PM,0.062,0
6:49:32 PM,0.062,0
6:49:33 PM,0.062,0
6:49:34 PM,0.062,0
6:49:35 PM,0.062,0
6:49:36 PM,0.062,0
6:49:37 PM,0.062,0
6:49:38 PM,0.062,0
6:49:39 PM,0.062,0
6:49:40 PM,0.062,0
6:49:41 PM,0.062,0
6:49:42 PM,0.062,0
6:49:43 PM,0.062,0
6:49:44 PM,0.062,0
6:49:45 PM,0.062,0
6:49:46 PM,0.062,0
6:49:47 PM,0.062,0
6:49:48 PM,0.062,0
6:49:49 PM,0.062,0
6:49:50 PM,0.062,0
6:49:51 PM,0.062,0
6:49:52 PM,0.062,0
6:49:53 PM,0.062,0
6:49:54 PM,0.062,0
6:49:55 PM,0.062,0
6:49:56 PM,0.062,0
6:49:57 PM,0.062,0
6:49:58 PM,0.062,0
6:49:59 PM,0.062,0
6:50:00 PM,0.062,0
6:50:01 PM,0.062,0
6:50:02 PM,0.062,0
6:50:03 PM,0.062,0
6:50:04 PM,0.062,0
6:50:05 PM,0.062,0
6:50:06 PM,0.062,0
6:50:07 PM,0.062,0
6:50:08 PM,0.062,0
6:50:09 PM,0.062,0
6:50:10 PM,0.062,0
6:50:11 PM,0.062,0
6:50:12 PM,0.062,0
6:50:13 PM,0.062,0
6:50:14 PM,0.062,0
6:50:15 PM,0.062,0
6:50:16 PM,0.062,0
6:50:17 PM,0.062,0
6:50:18 PM,0.062,0
6:50:19 PM,0.062,0
6:50:20 PM,0.062,0
6:50:21 PM,0.062,0
6:50:22 PM,0.062,0
6:50:23 PM,0.062,0
6:50:24 PM,0.062,0
6:50:25 PM,0.062,0
6:50:26 PM,0.062,0
6:50:27 PM,0.062,0
6:50:28 PM,0.062,0
6:50:29 PM,0.062,0
6:50:30 PM,0.062,0
6:50:31 PM,0.062,0
6:50:32 PM,0.062,0
6:50:33 PM,0.062,0
6:50:34 PM,0.062,0
6:50:35 PM,0.062,0
6:50:36 PM,0.062,0
6:50:37 PM,0.062,0
6:50:38 PM,0.062,0
6:50:39 PM,0.062,0
6:50:40 PM,0.062,0
6:50:41 PM,0.062,0
6:50:42 PM,0.062,0
6:50:43 PM,0.062,0
6:50:44 PM,0.062,0
6:50:45 PM,0.062,0
6:50:46 PM,0.062,0
6:50:47 PM,0.062,0
6:50:48 PM,0.062,0
6:50:49 PM,0.062,0
6:50:50 PM,0.062,0
6:50:51 PM,0.062,0
6:50:52 PM,0.062,0
6:50:53 PM,0.062,0
6:50:54 PM,0.062,0
6:50:55 PM,0.062,0
6:50:56 PM,0.062,0
6:50:57 PM,0.062,0
6:50:58 PM,0.062,0
6:50:59 PM,0.062,0
6:51:00 PM,0.062,0
6:51:01 PM,0.062,0
6:51:02 PM,0.062,0
6:51:03 PM,0.062,0
6:51:04 PM,0.062,0
6:51:05 PM,0.062,0
6:51:06 PM,0.062,0
6:51:07 PM,0.062,0
6:51:08 PM,0.062,0
6:51:09 PM,0.062,0
6:51:10 PM,0.062,0
6:51:11 PM,0.062,0
6:51:12 PM,0.062,0
6:51:13 PM,0.062,0
6:51:14 PM,0.062,0
6:51:15 PM,0.062,0
6:51:16 PM,0.062,0
6:51:17 PM,0.062,0
6:51:18 PM,0.062,0
6:51:19 PM,0.062,0
6:51:20 PM,0.062,0
6:51:21 PM,0.062,0
6:51:22 PM,0.062,0
6:51:23 PM,0.062,0
6:51:24 PM,0.062,0
6:51:25 PM,0.062,0
6:51:26 PM,0.062,0
6:51:27 PM,0.062,0
6:51:28 PM,0.062,0
6:51:29 PM,0.062,0
6:51:30 PM,0.062,0
6:51:31 PM,0.062,0
6:51:32 PM,0.062,0
6:51:33 PM,0.062,0
6:51:34 PM,0.062,0
6:51:35 PM,0.062,0
6:51:36 PM,0.062,0
6:51:37 PM,0.062,0
6:51:38 PM,0.062,0
6:51:39 PM,0.062,0
6:51:40 PM,0.062,0
6:51:41 PM,0.062,0
6:51:42 PM,0.062,0
6:51:43 PM,0.062,0
6:51:44 PM,0.062,0
6:51:45 PM,0.062,0
6:51:46 PM,0.062,0
6:51:47 PM,0.062,0
6:51:48 PM,0.062,0
6:51:49 PM,0.062,0
6:51:50 PM,0.062,0
6:51:51 PM,0.062,0
6:51:52 PM,0.062,0
6:51:53 PM,0.062,0
6:51:54 PM,0.062,0
6:51:55 PM,0.062,0
6:51:56 PM,0.062,0
6:51:57 PM,0.062,0
6:51:58 PM,0.062,0
6:51:59 PM,0.062,0
